step,epoch,train_loss_step,val_loss,train_loss_epoch
49,0,0.11557011306285858,,
99,0,0.11490586400032043,,
149,0,0.11627504229545593,,
199,0,0.08351823687553406,,
249,0,0.029231026768684387,,
249,0,,0.06119552254676819,
249,0,,,0.11660550534725189
299,1,0.028594624251127243,,
349,1,0.007155757397413254,,
399,1,0.03253496438264847,,
449,1,0.013633857481181622,,
499,1,0.00557520380243659,,
499,1,,0.008639918640255928,
499,1,,,0.02316642552614212
549,2,0.0066935233771800995,,
599,2,0.0025167083367705345,,
649,2,0.002613577526062727,,
699,2,0.04345359653234482,,
749,2,0.005960292648524046,,
749,2,,0.007453886326402426,
749,2,,,0.005262710154056549
799,3,0.0010669066105037928,,
849,3,0.0008586406474933028,,
899,3,0.0017866219859570265,,
949,3,0.0031441855244338512,,
999,3,0.0009696404449641705,,
999,3,,0.0030170283280313015,
999,3,,,0.0031718581449240446
1049,4,0.0008054212084971368,,
1099,4,0.0009169075638055801,,
1149,4,0.0011416826164349914,,
1199,4,0.00035347347147762775,,
1249,4,0.005244800820946693,,
1249,4,,0.004408618435263634,
1249,4,,,0.001979162683710456
1299,5,0.0008207138162106276,,
1349,5,0.0009296365897171199,,
1399,5,0.00213330565020442,,
1449,5,0.010545250028371811,,
1499,5,0.00047399644972756505,,
1499,5,,0.0014280055183917284,
1499,5,,,0.0025173951871693134
1549,6,0.001918582245707512,,
1599,6,0.0012352177873253822,,
1649,6,0.0006306743016466498,,
1699,6,0.000651810725685209,,
1749,6,0.0011088819010183215,,
1749,6,,0.0018660047790035605,
1749,6,,,0.0013702744618058205
1799,7,0.00040547450771555305,,
1849,7,0.00042127291089855134,,
1899,7,0.0006006647599861026,,
1949,7,0.001219203812070191,,
1999,7,0.0005528519977815449,,
1999,7,,0.0032227144110947847,
1999,7,,,0.0010895420564338565
2049,8,0.0004096364136785269,,
2099,8,0.001833451446145773,,
2149,8,0.0062135690823197365,,
2199,8,0.000779011461418122,,
2249,8,0.0006485983030870557,,
2249,8,,0.0031393002718687057,
2249,8,,,0.0018283459357917309
2299,9,0.0010835601715371013,,
2349,9,0.001412459067068994,,
2399,9,0.002291456563398242,,
2449,9,0.0007754253456369042,,
2499,9,0.004160393960773945,,
2499,9,,0.0051332195289433,
2499,9,,,0.003419439774006605
2549,10,0.002785080811008811,,
2599,10,0.0025070728734135628,,
2649,10,0.0006698917131870985,,
2699,10,0.0012081385357305408,,
2749,10,0.0011203541653230786,,
2749,10,,0.0019743384327739477,
2749,10,,,0.0024046730250120163
2799,11,0.0006450381479226053,,
2849,11,0.003339214948937297,,
2899,11,0.0033339117653667927,,
2949,11,0.0012311105383560061,,
2999,11,0.0015220791101455688,,
2999,11,,0.001807685475796461,
2999,11,,,0.0016893157735466957
3049,12,0.0004357120196800679,,
3099,12,0.0009173770667985082,,
3149,12,0.0005904924473725259,,
3199,12,0.000266551214735955,,
3249,12,0.0203121118247509,,
3249,12,,0.0013173104962334037,
3249,12,,,0.0009429688798263669
3299,13,8.786993566900492e-05,,
3349,13,0.00012808761675842106,,
3399,13,0.0010857181623578072,,
3449,13,0.0002760900533758104,,
3499,13,0.0013464894145727158,,
3499,13,,0.001315214904025197,
3499,13,,,0.0008712997077964246
3549,14,0.0001830095861805603,,
3599,14,0.00048680612235330045,,
3649,14,0.00026630557840690017,,
3699,14,0.0003126516821794212,,
3749,14,0.0004350266535766423,,
3749,14,,0.0016987042035907507,
3749,14,,,0.0007977653294801712
3799,15,0.00032557290978729725,,
3849,15,0.00032429309794679284,,
3899,15,0.001113016391173005,,
3949,15,0.0004531870363280177,,
3999,15,0.0002444704878143966,,
3999,15,,0.0004112555761821568,
3999,15,,,0.000454109424026683
4049,16,0.0006365246372297406,,
4099,16,0.00044742610771209,,
4149,16,9.544045315124094e-05,,
4199,16,9.115735883824527e-05,,
4249,16,0.0007154219201765954,,
4249,16,,0.0007666501915082335,
4249,16,,,0.0005271552363410592
4299,17,0.0004856020677834749,,
4349,17,0.00023679647711105645,,
4399,17,0.00030372393666766584,,
4449,17,0.0008685834472998977,,
4499,17,0.000294664001557976,,
4499,17,,0.00031974425655789673,
4499,17,,,0.0009520762832835317
4549,18,0.0004825460200663656,,
4599,18,0.00017137387476395816,,
4649,18,0.00039051490603014827,,
4699,18,9.864548337645829e-05,,
4749,18,0.0014859747607260942,,
4749,18,,0.00032038165954872966,
4749,18,,,0.00042258395114913583
