train_loss,step,epoch,val_loss
0.07902811467647552,49,0,
0.1128748208284378,99,0,
0.08665507286787033,149,0,
0.12547649443149567,199,0,
0.0757894366979599,249,0,
,249,0,0.078644298017025
0.04192615672945976,299,1,
0.013539962470531464,349,1,
0.008844692260026932,399,1,
0.0055421642027795315,449,1,
0.0031260687392205,499,1,
,499,1,0.009623837657272816
0.0017008226132020354,549,2,
0.0038974634371697903,599,2,
0.0013376176357269287,649,2,
0.0024374607019126415,699,2,
0.007225672714412212,749,2,
,749,2,0.005490255542099476
0.0011564316228032112,799,3,
0.0010465437080711126,849,3,
0.0014431541785597801,899,3,
0.0038941213861107826,949,3,
0.001824373146519065,999,3,
,999,3,0.0028831695672124624
0.0003610955027397722,1049,4,
0.0005511993658728898,1099,4,
0.0021007368341088295,1149,4,
0.0010352686513215303,1199,4,
0.0018040392315015197,1249,4,
,1249,4,0.003306157188490033
0.0011146829929202795,1299,5,
0.0005664898781105876,1349,5,
0.0014236951246857643,1399,5,
0.0006795291556045413,1449,5,
0.0007519609062001109,1499,5,
,1499,5,0.0011699560564011335
0.0015004309825599194,1549,6,
0.0009787301532924175,1599,6,
0.00027195282746106386,1649,6,
0.0008890309254638851,1699,6,
0.0022090626880526543,1749,6,
,1749,6,0.003034666646271944
0.0013410545652732253,1799,7,
0.0003484025364741683,1849,7,
0.0006330300238914788,1899,7,
8.932681521400809e-05,1949,7,
0.001269281143322587,1999,7,
,1999,7,0.0031192307360470295
0.00022029364481568336,2049,8,
0.0002642563486006111,2099,8,
0.00045719079207628965,2149,8,
0.0019792697858065367,2199,8,
0.00039396435022354126,2249,8,
,2249,8,0.0005163967725820839
0.0002823716204147786,2299,9,
0.00022028235252946615,2349,9,
0.000631840608548373,2399,9,
0.00024787907022982836,2449,9,
0.011927053332328796,2499,9,
,2499,9,0.0010418582241982222
0.0010667196474969387,2549,10,
0.0013673698995262384,2599,10,
0.00020950664475094527,2649,10,
0.0002969044435303658,2699,10,
0.00010626969742588699,2749,10,
,2749,10,0.00020593361114151776
0.000233791972277686,2799,11,
0.003624850884079933,2849,11,
0.0004446867387741804,2899,11,
0.001300855539739132,2949,11,
0.0004025655798614025,2999,11,
,2999,11,0.0007289103814400733
0.00012016308028250933,3049,12,
0.0001356285356450826,3099,12,
0.00029009723220951855,3149,12,
0.000232584701734595,3199,12,
0.001229806337505579,3249,12,
,3249,12,0.0017758659087121487
0.0008168671047315001,3299,13,
0.0004835227446164936,3349,13,
0.0007050248677842319,3399,13,
7.593354530399665e-05,3449,13,
0.0011978246038779616,3499,13,
,3499,13,0.002173228655010462
0.0002947231405414641,3549,14,
9.018665878102183e-05,3599,14,
6.442213634727523e-05,3649,14,
0.00025422609178349376,3699,14,
0.00012269314902368933,3749,14,
,3749,14,0.0006051553064025939
0.00012135105498600751,3799,15,
0.00011178823478985578,3849,15,
0.0004012451972812414,3899,15,
0.00015027417975943536,3949,15,
6.598491017939523e-05,3999,15,
,3999,15,0.00017910376482177526
0.0004670633643399924,4049,16,
0.0004514521569944918,4099,16,
0.00023330512340180576,4149,16,
0.007375439628958702,4199,16,
0.0008972871000878513,4249,16,
,4249,16,0.0010611277539283037
0.0026571210473775864,4299,17,
0.0038687631022185087,4349,17,
0.0021317126229405403,4399,17,
0.0003179667692165822,4449,17,
0.00022199845989234746,4499,17,
,4499,17,0.0011430141748860478
0.00202693953178823,4549,18,
