epoch,train_loss,step,val_loss
0,0.12134088575839996,49,
0,0.09783263504505157,99,
0,0.10243648290634155,149,
0,0.09637963771820068,199,
0,0.09978744387626648,249,
0,,249,0.11453156173229218
1,0.12674972414970398,299,
1,0.11672695726156235,349,
1,0.09949827194213867,399,
1,0.12438420951366425,449,
1,0.09728649258613586,499,
1,,499,0.11584131419658661
2,0.12921184301376343,549,
2,0.09013136476278305,599,
2,0.12746988236904144,649,
2,0.09332798421382904,699,
2,0.13425050675868988,749,
2,,749,0.11557843536138535
3,0.12091247737407684,799,
3,0.09828134626150131,849,
3,0.11500389873981476,899,
3,0.1314028948545456,949,
3,0.10189414024353027,999,
3,,999,0.11542326956987381
4,0.1158575713634491,1049,
4,0.11488702148199081,1099,
4,0.15368130803108215,1149,
4,0.11932762712240219,1199,
4,0.07889935374259949,1249,
4,,1249,0.11557768285274506
5,0.10097132623195648,1299,
5,0.08709876239299774,1349,
5,0.12311965227127075,1399,
5,0.132815882563591,1449,
5,0.11407499760389328,1499,
5,,1499,0.11612433195114136
6,0.12356417626142502,1549,
6,0.10342185199260712,1599,
6,0.11407279968261719,1649,
6,0.09883201122283936,1699,
6,0.11052136868238449,1749,
6,,1749,0.11589494347572327
7,0.10789402574300766,1799,
7,0.13740044832229614,1849,
7,0.10011037439107895,1899,
7,0.10255815833806992,1949,
7,0.13082198798656464,1999,
7,,1999,0.1155739426612854
8,0.10291390120983124,2049,
8,0.07212240248918533,2099,
8,0.12919943034648895,2149,
8,0.107261061668396,2199,
8,0.12087281048297882,2249,
8,,2249,0.11541451513767242
9,0.1192585825920105,2299,
9,0.13320879638195038,2349,
9,0.16606028378009796,2399,
9,0.13660722970962524,2449,
9,0.09764017164707184,2499,
9,,2499,0.11532276123762131
10,0.13062047958374023,2549,
10,0.10436724871397018,2599,
10,0.10337202996015549,2649,
10,0.11447643488645554,2699,
10,0.1057349294424057,2749,
10,,2749,0.11534028500318527
11,0.11534811556339264,2799,
11,0.10935238003730774,2849,
11,0.11764717102050781,2899,
11,0.13005590438842773,2949,
11,0.1159137636423111,2999,
11,,2999,0.1159459799528122
12,0.11059626191854477,3049,
12,0.13873685896396637,3099,
12,0.11043300479650497,3149,
12,0.10291552543640137,3199,
12,0.1128505989909172,3249,
12,,3249,0.1161511242389679
13,0.10786470770835876,3299,
13,0.10366480052471161,3349,
13,0.09852977842092514,3399,
13,0.09653814136981964,3449,
13,0.11111950874328613,3499,
13,,3499,0.11571689695119858
14,0.10784292221069336,3549,
14,0.12988846004009247,3599,
14,0.10811184346675873,3649,
14,0.12018322199583054,3699,
14,0.10898780822753906,3749,
14,,3749,0.1162329688668251
15,0.08050207793712616,3799,
15,0.10152032971382141,3849,
15,0.14977537095546722,3899,
15,0.08755780756473541,3949,
15,0.11052365601062775,3999,
15,,3999,0.11547964066267014
16,0.10889943689107895,4049,
16,0.0706586092710495,4099,
16,0.09943294525146484,4149,
16,0.08856694400310516,4199,
16,0.11196329444646835,4249,
16,,4249,0.11527855694293976
17,0.15896785259246826,4299,
17,0.09501539170742035,4349,
17,0.10761459916830063,4399,
17,0.08770100772380829,4449,
17,0.10588441789150238,4499,
17,,4499,0.11667338758707047
18,0.14262916147708893,4549,
18,0.11720909923315048,4599,
18,0.0964827686548233,4649,
18,0.0815061554312706,4699,
18,0.11245284974575043,4749,
18,,4749,0.11531952023506165
19,0.11297339200973511,4799,
19,0.09234678000211716,4849,
19,0.09204749763011932,4899,
19,0.07474318146705627,4949,
19,0.10121475905179977,4999,
19,,4999,0.11527915298938751
20,0.12051346153020859,5049,
20,0.10071776807308197,5099,
20,0.13777562975883484,5149,
20,0.0823136568069458,5199,
20,0.11482926458120346,5249,
20,,5249,0.11487070471048355
21,0.0763300210237503,5299,
21,0.12023839354515076,5349,
21,0.10240717977285385,5399,
21,0.0957796573638916,5449,
21,0.10716565698385239,5499,
21,,5499,0.11530811339616776
22,0.09015120565891266,5549,
22,0.09164325892925262,5599,
22,0.09961946308612823,5649,
22,0.0747932493686676,5699,
22,0.13198548555374146,5749,
22,,5749,0.11527828127145767
23,0.0777214914560318,5799,
23,0.10726490616798401,5849,
23,0.11686941236257553,5899,
23,0.10237160325050354,5949,
23,0.11548225581645966,5999,
23,,5999,0.11532802879810333
24,0.12570877373218536,6049,
24,0.08896027505397797,6099,
24,0.11693783104419708,6149,
24,0.11368368566036224,6199,
24,0.10050883889198303,6249,
24,,6249,0.11542432010173798
25,0.08848568052053452,6299,
25,0.09069980680942535,6349,
25,0.1372983306646347,6399,
25,0.08817119896411896,6449,
25,0.15207810699939728,6499,
25,,6499,0.11533055454492569
26,0.10008716583251953,6549,
26,0.09202179312705994,6599,
