epoch,train_loss,step,val_loss
0,0.12721696496009827,49,
0,0.10174953937530518,99,
0,0.11483767628669739,149,
0,0.14291983842849731,199,
0,0.0865398645401001,249,
0,,249,0.11440829187631607
1,0.10150295495986938,299,
1,0.10437071323394775,349,
1,0.11397674679756165,399,
1,0.12123974412679672,449,
1,0.12182287871837616,499,
1,,499,0.11571371555328369
2,0.09311565011739731,549,
2,0.10124526917934418,599,
2,0.1146797239780426,649,
2,0.09064947068691254,699,
2,0.09526370465755463,749,
2,,749,0.11581619083881378
3,0.1449204981327057,799,
3,0.11345502734184265,849,
3,0.11576896905899048,899,
3,0.11922871321439743,949,
3,0.12144999951124191,999,
3,,999,0.11551441997289658
4,0.1084543988108635,1049,
4,0.10526647418737411,1099,
4,0.15306083858013153,1149,
4,0.15144804120063782,1199,
4,0.099108025431633,1249,
4,,1249,0.11609597504138947
5,0.10534169524908066,1299,
5,0.10672053694725037,1349,
5,0.10315564274787903,1399,
5,0.08800333738327026,1449,
5,0.10679076611995697,1499,
5,,1499,0.11520937830209732
6,0.08088578283786774,1549,
6,0.08517587184906006,1599,
6,0.06966253370046616,1649,
6,0.09016337245702744,1699,
6,0.09620600193738937,1749,
6,,1749,0.11625280231237411
7,0.1073739230632782,1799,
7,0.13106441497802734,1849,
7,0.1092916950583458,1899,
7,0.1180667132139206,1949,
7,0.12815889716148376,1999,
7,,1999,0.11584485322237015
8,0.09065436571836472,2049,
8,0.10113221406936646,2099,
8,0.10150730609893799,2149,
8,0.07810930907726288,2199,
8,0.08429684489965439,2249,
8,,2249,0.11518149077892303
9,0.1337583363056183,2299,
9,0.1190260574221611,2349,
9,0.0732148289680481,2399,
9,0.11265890300273895,2449,
9,0.09506355971097946,2499,
9,,2499,0.11537501960992813
10,0.09788664430379868,2549,
10,0.13289400935173035,2599,
10,0.11516272276639938,2649,
10,0.12159742414951324,2699,
10,0.11991795152425766,2749,
10,,2749,0.11546112596988678
11,0.1347651481628418,2799,
11,0.08703329414129257,2849,
11,0.08104190230369568,2899,
11,0.10244244337081909,2949,
11,0.0914042741060257,2999,
11,,2999,0.11543881148099899
12,0.09773385524749756,3049,
12,0.07977406680583954,3099,
12,0.08361300826072693,3149,
12,0.10632671415805817,3199,
12,0.09981970489025116,3249,
12,,3249,0.11609221249818802
13,0.1125512421131134,3299,
13,0.10934656858444214,3349,
